,sim,DiscountedCost,DiscountedQALY,LY,group
1,1,299814.6157,1.029058454,1.986757141,Super_TDXd
2,1,95892.33389,0.415240541,0.906779199,Chemo-Chemo
3,1,137882.627,0.464547866,1.04177816,Chemo-TDxd
4,1,178626.6329,0.589000051,1.236235923,TDxD-Chemo
5,1,212514.0206,0.641853702,1.385472698,TDxD-SG
6,2,327588.8143,1.135663859,2.103526025,Super_TDXd
7,2,85996.41787,0.409307033,0.822675001,Chemo-Chemo
8,2,145116.84,0.509137518,1.047908295,Chemo-TDxd
9,2,167404.7342,0.573152137,1.174592058,TDxD-Chemo
10,2,197386.8132,0.636797549,1.314515133,TDxD-SG
11,3,378710.9002,1.284703483,2.414509883,Super_TDXd
12,3,107130.8056,0.517450218,1.016340685,Chemo-Chemo
13,3,172735.1178,0.622341885,1.256229865,Chemo-TDxd
14,3,203252.5824,0.675573001,1.346374205,TDxD-Chemo
15,3,229240.5419,0.740238287,1.493879091,TDxD-SG
16,4,292787.3263,1.017442691,2.085821277,Super_TDXd
17,4,99647.49582,0.402624099,0.918209645,Chemo-Chemo
18,4,139292.5199,0.459970002,1.084396152,Chemo-TDxd
19,4,177396.8684,0.582552487,1.331169429,TDxD-Chemo
20,4,203926.1599,0.621865954,1.444824306,TDxD-SG
21,5,249327.7285,1.351698932,2.082674485,Super_TDXd
22,5,90828.69083,0.49583173,0.851740171,Chemo-Chemo
23,5,120473.5884,0.591262254,1.01148372,Chemo-TDxd
24,5,129125.3158,0.638925218,1.113012629,TDxD-Chemo
25,5,148197.8137,0.696608122,1.215203901,TDxD-SG
26,6,372569.2588,1.339223753,2.159710335,Super_TDXd
27,6,99521.09871,0.611738294,1.044114299,Chemo-Chemo
28,6,154715.0939,0.67297681,1.178000024,Chemo-TDxd
29,6,211072.9616,0.749222316,1.30796239,TDxD-Chemo
30,6,258950.0425,0.854619503,1.530164948,TDxD-SG
31,7,374528.4731,1.143913548,2.359816052,Super_TDXd
32,7,91987.40622,0.403413027,0.871678737,Chemo-Chemo
33,7,167253.0315,0.547278433,1.216114369,Chemo-TDxd
34,7,207817.3076,0.63061801,1.36782947,TDxD-Chemo
35,7,232825.507,0.665804312,1.451359967,TDxD-SG
36,8,374320.9898,1.151584835,2.202720864,Super_TDXd
37,8,104890.7983,0.473565953,1.000134564,Chemo-Chemo
38,8,168766.0759,0.546189557,1.200954475,Chemo-TDxd
39,8,232164.4102,0.697404505,1.443911501,TDxD-Chemo
40,8,259328.0383,0.736832902,1.550530043,TDxD-SG
41,9,314779.6928,1.217723008,2.025232376,Super_TDXd
42,9,89158.33754,0.461365029,0.846220873,Chemo-Chemo
43,9,132783.7937,0.530193344,0.973202721,Chemo-TDxd
44,9,185502.1658,0.687223818,1.271484549,TDxD-Chemo
45,9,207516.572,0.751276987,1.396968753,TDxD-SG
46,10,331948.8953,1.057798867,2.222538927,Super_TDXd
47,10,103074.0732,0.430365242,1.001420628,Chemo-Chemo
48,10,219945.213,0.643505378,1.589968658,Chemo-TDxd
49,10,251026.3856,0.786550679,1.711350767,TDxD-Chemo
50,10,272187.0527,0.818012542,1.797824831,TDxD-SG
51,11,360259.909,1.347867687,2.294687176,Super_TDXd
52,11,103480.8153,0.526488859,0.958024538,Chemo-Chemo
53,11,151003.1057,0.598685032,1.098960755,Chemo-TDxd
54,11,191534.5982,0.700097662,1.276199076,TDxD-Chemo
55,11,237605.2567,0.80058605,1.473516376,TDxD-SG
56,12,279516.1868,1.06480798,1.84772705,Super_TDXd
57,12,100480.284,0.519915606,1.016303212,Chemo-Chemo
58,12,140139.6656,0.562138588,1.12683942,Chemo-TDxd
59,12,190005.7301,0.716607884,1.338515108,TDxD-Chemo
60,12,222727.8429,0.766424683,1.469515418,TDxD-SG
61,13,310499.1594,1.243955821,2.01290285,Super_TDXd
62,13,108694.3761,0.558723026,1.00493693,Chemo-Chemo
63,13,189049.6045,0.680267555,1.350127585,Chemo-TDxd
64,13,213316.5654,0.832451193,1.452883636,TDxD-Chemo
65,13,236878.5521,0.894992758,1.629119161,TDxD-SG
66,14,357905.949,1.202657839,2.2382856,Super_TDXd
67,14,96629.52727,0.45327313,0.90072379,Chemo-Chemo
68,14,151664.3429,0.545955086,1.106345564,Chemo-TDxd
69,14,208790.3835,0.688135785,1.379340794,TDxD-Chemo
70,14,234505.134,0.730756118,1.473919573,TDxD-SG
71,15,291938.8499,0.953875648,1.817920107,Super_TDXd
72,15,99551.31479,0.495503011,0.994031283,Chemo-Chemo
73,15,219226.9479,0.726642475,1.473075283,Chemo-TDxd
74,15,215114.9908,0.692575841,1.345552334,TDxD-Chemo
75,15,278522.2216,0.825848687,1.619967879,TDxD-SG
76,16,293444.9691,1.184674997,2.146256851,Super_TDXd
77,16,121072.3707,0.533773065,1.098011865,Chemo-Chemo
78,16,190262.5548,0.681762275,1.501833035,Chemo-TDxd
79,16,205804.2556,0.769792588,1.483061721,TDxD-Chemo
80,16,220829.3576,0.795233801,1.551432822,TDxD-SG
81,17,253368.3387,1.222823458,2.155587632,Super_TDXd
82,17,105055.5059,0.571076062,1.034056499,Chemo-Chemo
83,17,145513.7201,0.670025352,1.286963321,Chemo-TDxd
84,17,184784.467,0.869971666,1.610728785,TDxD-Chemo
85,17,196205.2355,0.889720925,1.661352297,TDxD-SG
86,18,286834.4004,1.09544066,2.07729494,Super_TDXd
87,18,103412.0372,0.450724021,0.928825884,Chemo-Chemo
88,18,164300.0587,0.561477172,1.254015067,Chemo-TDxd
89,18,170192.3547,0.593840231,1.22633767,TDxD-Chemo
90,18,192715.0938,0.648820706,1.385703294,TDxD-SG
91,19,354204.4915,1.316885406,2.252919369,Super_TDXd
92,19,101575.7581,0.495759865,0.984276893,Chemo-Chemo
93,19,192801.7066,0.658346776,1.393346831,Chemo-TDxd
94,19,201233.664,0.716698755,1.341640243,TDxD-Chemo
95,19,237333.9716,0.792554426,1.531060063,TDxD-SG
96,20,300843.8547,1.322853972,2.208976938,Super_TDXd
97,20,112593.0056,0.667272364,1.084362715,Chemo-Chemo
98,20,198236.0278,0.938031068,1.549927857,Chemo-TDxd
99,20,252710.2098,1.106729061,1.882364395,TDxD-Chemo
100,20,279287.1754,1.177822862,2.003228035,TDxD-SG
101,21,288462.2719,1.161421817,2.138482998,Super_TDXd
102,21,97270.93275,0.529682,1.007520055,Chemo-Chemo
103,21,199300.4889,0.780421927,1.548639982,Chemo-TDxd
104,21,181334.0913,0.727906115,1.442132174,TDxD-Chemo
105,21,207260.3298,0.762457688,1.514556992,TDxD-SG
106,22,328782.6259,1.25640739,2.136203273,Super_TDXd
107,22,119362.5093,0.594199088,1.112081954,Chemo-Chemo
108,22,181668.3332,0.702975941,1.344341237,Chemo-TDxd
109,22,208087.6971,0.759172191,1.401008065,TDxD-Chemo
110,22,242461.4998,0.867141317,1.631370248,TDxD-SG
111,23,283846.245,1.110568954,2.180502358,Super_TDXd
112,23,105986.2003,0.487575404,1.000886597,Chemo-Chemo
113,23,154842.2252,0.59313313,1.230270996,Chemo-TDxd
114,23,175896.7728,0.673675646,1.443991555,TDxD-Chemo
115,23,220023.3048,0.784701042,1.688447788,TDxD-SG
116,24,259245.3507,1.102118878,1.835981518,Super_TDXd
117,24,98372.37245,0.462298018,0.885904738,Chemo-Chemo
118,24,160632.5839,0.601347366,1.210895013,Chemo-TDxd
119,24,180286.1697,0.734164819,1.310926689,TDxD-Chemo
120,24,227129.6143,0.829022079,1.537084752,TDxD-SG
121,25,322148.6648,1.367013595,2.225235117,Super_TDXd
122,25,108250.1549,0.604161957,1.017872162,Chemo-Chemo
123,25,193891.7149,0.82970628,1.449006847,Chemo-TDxd
124,25,222464.4216,0.925311055,1.575904996,TDxD-Chemo
125,25,251426.7338,1.002090139,1.721781295,TDxD-SG
126,26,274716.9506,1.297755242,2.182934737,Super_TDXd
127,26,93316.86763,0.509995294,0.920093581,Chemo-Chemo
128,26,125595.8707,0.584348379,1.062471681,Chemo-TDxd
129,26,157418.6371,0.703723396,1.288360653,TDxD-Chemo
130,26,185470.8169,0.763067772,1.403191924,TDxD-SG
131,27,301097.5258,1.103496896,1.816811726,Super_TDXd
132,27,91206.45818,0.529767284,0.956126824,Chemo-Chemo
133,27,147682.4172,0.606446118,1.107147194,Chemo-TDxd
134,27,206743.0584,0.758766358,1.32346172,TDxD-Chemo
135,27,244717.2703,0.86232319,1.52826471,TDxD-SG
136,28,273285.9611,1.365875458,2.099156341,Super_TDXd
137,28,112366.2937,0.660616226,1.043227434,Chemo-Chemo
138,28,149309.0325,0.767543135,1.240396194,Chemo-TDxd
139,28,177926.2378,0.838017208,1.340303872,TDxD-Chemo
140,28,217359.5849,0.971616426,1.576699414,TDxD-SG
141,29,317319.291,1.278139172,2.115153108,Super_TDXd
142,29,90068.54543,0.485798398,0.883668023,Chemo-Chemo
143,29,151969.7688,0.592816165,1.113138386,Chemo-TDxd
144,29,194167.627,0.765705213,1.338213719,TDxD-Chemo
145,29,231764.5143,0.875279967,1.563314334,TDxD-SG
