"","sim","DiscountedCost","DiscountedQALY","LY","group"
"1",1,166659.408043904,0.833679293621427,1.64179961106839,"Chemo-Chemo"
"2",1,252484.339475589,1.02560196500672,1.96011017974002,"Chemo-TDxd"
"3",1,275367.648594525,1.08640424325487,1.99306122216754,"TDxD-Chemo"
"4",1,293505.834803494,1.13005303207999,2.06522841168563,"TDxD-SG"
"5",2,176677.277895769,0.860489361126163,1.64888647467249,"Chemo-Chemo"
"6",2,225867.99663956,0.99366008563185,1.8901717996956,"Chemo-TDxd"
"7",2,271664.948328017,1.20945883682616,2.16177524975613,"TDxD-Chemo"
"8",2,281209.323448806,1.1683672867389,2.08734861942209,"TDxD-SG"
"9",3,180445.754183013,0.791330575182437,1.65320415505876,"Chemo-Chemo"
"10",3,232620.272096875,0.91274311480578,1.8857136313261,"Chemo-TDxd"
"11",3,271846.035740445,1.0625861843835,2.04638998767071,"TDxD-Chemo"
"12",3,310102.115131731,1.12134041966484,2.16439601666485,"TDxD-SG"
"13",4,187735.199093852,0.758266118052267,1.56983437715016,"Chemo-Chemo"
"14",4,306147.812498916,0.947174387285717,2.111290954941,"Chemo-TDxd"
"15",4,373069.827063504,1.1889620957491,2.40252896264171,"TDxD-Chemo"
"16",4,386703.277931476,1.17734949383791,2.37536936443318,"TDxD-SG"
"17",5,160244.367408013,0.717945363760152,1.64397599569816,"Chemo-Chemo"
"18",5,218174.94504928,0.826951002924734,1.90210354730706,"Chemo-TDxd"
"19",5,270184.897021372,1.03395855593624,2.10109344592164,"TDxD-Chemo"
"20",5,305234.850518677,1.08077733099149,2.2119929930274,"TDxD-SG"
"21",6,186561.063517038,0.791739498736175,1.66017740140008,"Chemo-Chemo"
"22",6,242552.881742093,0.925216710630014,1.89212752759568,"Chemo-TDxd"
"23",6,268993.070879963,1.01559768510662,2.10643428885969,"TDxD-Chemo"
"24",6,277377.735032992,0.964688055350235,2.01359173320831,"TDxD-SG"
"25",7,179376.380375767,0.795046415038759,1.73531657077978,"Chemo-Chemo"
"26",7,249438.772190651,0.901125455766276,1.95744162793561,"Chemo-TDxd"
"27",7,300857.639208075,1.05067004139544,2.12976903910085,"TDxD-Chemo"
"28",7,331854.704390903,1.08537037048466,2.20262865990973,"TDxD-SG"
"29",8,187596.223145834,0.689867675015705,1.6643297157631,"Chemo-Chemo"
"30",8,239014.657375982,0.782181189641642,1.88519047258029,"Chemo-TDxd"
"31",8,271922.837531516,0.883932202502896,2.05524381997638,"TDxD-Chemo"
"32",8,291041.493452994,0.887452626585126,2.06361820426602,"TDxD-SG"
"33",9,180828.344509852,0.684263190648473,1.60100648661262,"Chemo-Chemo"
"34",9,249749.300717463,0.840627653317313,1.89543331243661,"Chemo-TDxd"
"35",9,304560.033009501,1.03263218586454,2.18303128417841,"TDxD-Chemo"
"36",9,340039.658016212,1.09019110084382,2.29225329263759,"TDxD-SG"
"37",10,200761.103257684,0.716662428388416,1.72221121145932,"Chemo-Chemo"
"38",10,273528.601411285,0.850995283661925,2.05236971047893,"Chemo-TDxd"
"39",10,305401.948514714,0.988533924583518,2.22779200108069,"TDxD-Chemo"
"40",10,318425.897094717,0.939400131362841,2.10746718672853,"TDxD-SG"
"41",11,186535.093107281,0.737497375858279,1.68286834026922,"Chemo-Chemo"
"42",11,258734.932847396,0.863722642405607,1.98898826801742,"Chemo-TDxd"
"43",11,291605.678622928,1.04079075566268,2.20400811014352,"TDxD-Chemo"
"44",11,313157.879732815,1.05163060372126,2.23053339474317,"TDxD-SG"
"45",12,172323.147090237,0.818605988660809,1.66837945525276,"Chemo-Chemo"
"46",12,223438.133674311,0.935506111837787,1.86778870937052,"Chemo-TDxd"
"47",12,272090.599695728,1.06040697452402,2.00821030909274,"TDxD-Chemo"
"48",12,282133.414043271,1.0604096068472,2.00821504889405,"TDxD-SG"
"49",13,177631.862497806,0.73361157920744,1.70861929666957,"Chemo-Chemo"
"50",13,265125.644339714,0.906971484899879,2.07507484667498,"Chemo-TDxd"
"51",13,280175.858045025,0.992383714480292,2.11210081756043,"TDxD-Chemo"
"52",13,311106.009739562,0.990245539677894,2.10759787384949,"TDxD-SG"
"53",14,175739.267073928,0.799647815574094,1.66216973574789,"Chemo-Chemo"
"54",14,237157.340144263,0.913049164245395,1.88475175684894,"Chemo-TDxd"
"55",14,277661.207062892,1.05776109643216,2.05250221641588,"TDxD-Chemo"
"56",14,297681.69060134,1.07499302834238,2.0863928739165,"TDxD-SG"
"57",15,166340.444363586,0.680851066928139,1.68259212361252,"Chemo-Chemo"
"58",15,211148.520185414,0.779048108217745,1.9141954154839,"Chemo-TDxd"
"59",15,232959.615857108,0.868313382996541,2.07017987100457,"TDxD-Chemo"
"60",15,265441.941978901,0.92116110450525,2.19499746817932,"TDxD-SG"
"61",16,187266.506199318,0.808164660052433,1.67606704434635,"Chemo-Chemo"
"62",16,266022.784084643,0.966062984486955,2.04359141656925,"Chemo-TDxd"
"63",16,293556.114828599,1.05378986703779,2.20713935597826,"TDxD-Chemo"
"64",16,322386.454402556,1.05379761864479,2.20715487965344,"TDxD-SG"
"65",17,185715.98282123,0.604168128521302,1.70814124453491,"Chemo-Chemo"
